PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,PINUS,2010,31.4,100,1,NA,106,18,24,8,0.55,11.30029559,0.058,1.614,0.239,0.368,1.222,2.005,4.643,8.024
CRCRPIPO,2009,QUKE,2010,34.6,100,1,NA,107,16,2,0,0.48,10.16727881,0,0.149,0.223,0.331,0.775,2.003,4.639,7.987
CRCRPIPO,2009,PINUS,2010,26.8,100,1,NA,107,14,24,7,0.58,12.32020559,0.079,0.303,0.23,0.339,0.796,1.989,3.602,7.588
CRCRPIPO,2009,ABCO,2010,3,100,1,NA,108,14,11,2,0.58,118.2201492,0,1.227,0.285,0.395,0.916,2.015,3.656,7.631
CRCRPIPO,2009,PINUS,2010,26.8,100,1,NA,108,5,4,2,2.78,11.09182585,0.048,0.11,0.024,0.172,0.489,1.649,3.276,5.758
CRCRPIPO,2009,PINUS,2010,17.5,100,1,NA,113,9,4,2,1.51,17.94116859,0.113,0.175,0.101,0.307,0.978,2.037,3.225,6.214
CRCRPIPO,2009,CADE,2010,13.7,100,1,NA,110,9,55,2,1.51,23.35311826,0.047,1.285,0.089,0.41,1.452,2.094,3.141,5.961
CRCRPIPO,2009,CADE,2010,26.6,100,1,NA,109,14,64,2,0.73,12.40023467,0.11,1.583,0.23,0.34,0.792,2.085,3.636,7.463
CRCRPIPO,2009,PINUS,2010,1.8,100,1,NA,109,16,24,8,0.21,188.2515145,0.136,0.359,0.286,0.458,0.959,2.345,3.684,7.756
CRCRPIPO,2009,PINUS,2010,2,100,1,NA,107,16,23,8,0.21,169.1004908,0.136,0.354,0.286,0.458,0.875,2.345,3.466,7.74
CRCRPIPO,2009,PINUS,2010,3.8,100,1,NA,113,15,25,8,0.4,85.52869051,0.135,0.371,0.285,0.378,0.94,2.344,3.707,7.403
CRCRPIPO,2009,CADE,2010,3.8,100,1,NA,106,19,63,9,0.33,92.7930652,0.316,1.489,0.167,1.006,1.329,3.384,4.759,7.907
CRCRPIPO,2009,PINUS,2010,1.5,100,1,NA,316,67,6,0,0.39,255.3060525,0,0.166,0.176,0.293,0.908,2.671,4.828,6.548
CRCRPIPO,2009,CADE,2010,1.9,100,1,NA,87,8,39,4,0.47,102.4943821,0.002,0.343,0.599,0.927,1.651,2.399,3.78,7.84
CRCRPIPO,2009,CADE,2010,1.6,100,1,NA,88,9,38,4,0.47,117.8301602,0.001,0.307,0.599,0.927,1.651,2.309,4.219,7.831
CRCRPIPO,2009,ABCO,2010,10.1,100,1,NA,113,8,47,3,0.32,31.95130774,1.033,2.681,1.247,1.476,1.587,2.832,4.738,9.867
CRCRPIPO,2009,PINUS,2011,24.8,99,1,0,113,8,9,2,0.32,12.17812049,0.049,0.248,1.207,1.39,1.537,2.836,4.682,9.295
CRCRPIPO,2009,CADE,NA,40.7,70,0,0,99,8,41,1,1.18,5.900364423,0.005,1.197,1.125,1.144,1.459,2.372,4.035,8.558
CRCRPIPO,2009,PINUS,2010,27.8,100,1,NA,113,9,3,0,1.88,9.363641482,0,0.073,0.24,1.382,1.615,2.263,5.181,8.757
CRCRPIPO,2009,QUKE,2010,10,100,1,NA,204,12,9,1,1.81,34.1450941,0.066,0.445,0.051,0.249,2.035,2.805,5.704,11.993
CRCRPIPO,2009,CADE,2010,4.1,100,1,NA,115,9,26,5,1.1,55.34526116,0.684,1.387,1.8,1.875,3.184,3.475,8.746,13.073
